,CASH,CASH_yield
1980-10-28,1.0828328439042414,0.0003372602854689507
1980-10-29,1.083044586242288,0.00034219177455118257
1980-10-30,1.0833082375198841,0.0003430137111716075
1980-10-31,1.0828086960735608,0.0003435616427904939
1980-11-03,1.081585485160212,0.001044657537381943
1980-11-05,1.0811884381468775,0.0007216438397969285
1980-11-06,1.08107303049104,0.0003671232772200075
1980-11-07,1.083801214292639,0.0003698630136986302
1980-11-10,1.082711211221888,0.0010717808187824405
1980-11-12,1.0850226974277437,0.0007386301119033605
1980-11-13,1.085866812123636,0.0003610958987719392
1980-11-14,1.0847236972967382,0.00035863014116679155
1980-11-17,1.0818482627380341,0.0011005479734237879
1980-11-18,1.0847942554222267,0.0003887671117913233
1980-11-19,1.085042905401294,0.00037506848165433696
1980-11-20,1.084227724744321,0.0003758904182747619
1980-11-21,1.0828152620027272,0.00038246575446978007
1980-11-24,1.083617387964402,0.0011769862762869218
1980-11-25,1.0853042096601762,0.00039479451636745505
1980-11-26,1.0855166291568374,0.0003879452012989619
1980-11-28,1.0849322383165485,0.0007780821813295966
1980-12-01,1.085043424337015,0.0011901369486769582
1980-12-02,1.0849191649872385,0.00040301369967525954
1980-12-03,1.0861623800212001,0.0004060273888992936
1980-12-04,1.0855816410162873,0.00040164383143594817
1980-12-05,1.081088705071123,0.0004071232782651301
1980-12-08,1.0790334285012666,0.0013019178207606483
1980-12-09,1.078570198008049,0.0004528767311409728
1980-12-10,1.0782626650727256,0.0004580821729686162
1980-12-11,1.0774643248642224,0.00046246573043196167
1980-12-12,1.0808999672284918,0.0004695890243739298
1980-12-15,1.0812555008033131,0.0013602739098953873
1980-12-16,1.0820956299965645,0.00045945206733599106
1980-12-17,1.0837345245050753,0.0004575342674777933
1980-12-18,1.0855710004874946,0.00045123285790012304
1980-12-19,1.0924613628709152,0.000443835637340807
1980-12-22,1.0942416106085922,0.0012271233127541736
1980-12-23,1.0964660552170027,0.00040657534664624356
1980-12-24,1.0957718509299812,0.0003969862950991278
1980-12-26,1.0979715595210713,0.0008060273993505191
1980-12-29,1.1006416201600142,0.0011876712171998741
1980-12-30,1.1013715972748908,0.00038849315904591176
1980-12-31,1.1008665379044056,0.0003868493119331255
